部署名,棚番,用途,種類,メーカー名,品番,数量,依頼,依頼日,税抜単価,税抜金額 ,在庫数,発注点,発注,発注日,出庫,出庫日,入庫 ,入庫日,仕入先名,備考,担当者,伝票No,税込単価 ,税込金額,税額,税率,勘定科目,使用先,サイズ,入力日
生産部,,,ボーリングバイト,(株)まじま機工,16167,0,,,,¥0,0,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,1.3*6.0*0.8*5.2,
生産部,,,ボーリングバイト,(株)まじま機工,16300,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,7.0*1.8*6.0*13.2,
生産部,,,ボーリングバイト,(株)まじま機工,16344,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ハギテック(KBS-4),4.5*1.0*3.75*13.0,
生産部,,,パンチ,(株)まじま機工,16851,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東光電子（1002-109-07）,1.15*2.8*7.0,
生産部,,,成形パンチ,(株)まじま機工,18403,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,5枚刃リーマ,(株)まじま機工,18699,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,三栄精工(K658C04604D),30°*0.5*4.007*19.0,
生産部,,,ボーリングバイト,(株)まじま機工,18748,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ハギテック(KS-3),3.5*1.0*2.8*15.0,
生産部,,,総型ミゾ,(株)まじま機工,19100,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,クロダニューマティクス,0.5*R0.3*1.08*1.5,
生産部,,,総型ミゾ,(株)まじま機工,19221,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,クロダニューマティクス,R0.1*0.63*1.7,
生産部,,,ドリル,(株)まじま機工,19230,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東泉産業（プラズマノズル）,80°*10.3*3.7*14.3*28.0,
生産部,,,総型バイト,(株)まじま機工,19267,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,スプール用,R0.1*0.8*1.85,
生産部,,,総型バイト,(株)まじま機工,19365,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,R0.4*1.46*3.7,
生産部,,,総型バイト,(株)まじま機工,19559,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,スプール用,R0.4*1.2*3.3,
生産部,,,センター,(株)まじま機工,19688,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°,
生産部,,,エンドミル,(株)まじま機工,19852,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,0.5*0.95*30°*2.01,
生産部,,,センター,(株)まじま機工,19905,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°*1.8*10.0,
生産部,,,ザグリ,(株)まじま機工,19908,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,大東バルブ（RD001101),1.512*3.0*45°*2.5*3.5,
生産部,,,センター,(株)まじま機工,19941,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°,
生産部,,,センター両刃,(株)まじま機工,20090,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東京鋲兼(#80ノズル）,90°*0.8*3.0,
生産部,,,センター,(株)まじま機工,20092,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°先端0.05～0.07,
生産部,,,センター,(株)まじま機工,20183,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°,
生産部,,,ネジ切りバイト,(株)まじま機工,20255,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ハギテック,1.5*1.8*8.5*14.2,
生産部,,,センター,(株)まじま機工,20358,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,70°,
生産部,,,2枚刃エンドミル,(株)まじま機工,20375,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東泉産業(504345-1901-0-00),70°*0.93,
生産部,,,パンチ,(株)まじま機工,20396,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,大東バルブ（9N00-6001),φ90°*10.0,
生産部,,,シェーパー,(株)まじま機工,20513,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ（ノブ）,2.93*1.0*4.5*10.35,
生産部,,,チェーシングバイト,(株)まじま機工,20539,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ（A3),0.398*1.2,
生産部,,,シェーパー,(株)まじま機工,20546,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ダイトー（HM00-5001),R0*3°*6°*10.0,
生産部,,,端面ミゾ入れ,(株)まじま機工,20587,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,大東バルブ（FC00-1301),1.675*3.1*R0.4*R0.2*20°,
生産部,,,端面ミゾ入れ,(株)まじま機工,20588,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,大東バルブ（FC00-1301),1.675*1.05*R0.4*R0.2*20°,
生産部,,,Tスロットカッター,(株)まじま機工,20616,0,,,,¥0,,,,,,,,,(株)まじま機工,納期2ヵ月　再研磨（￥4000）,新井翔太,,¥0,¥0,¥0,10,消耗品,東泉産業(206000145),φ34.8*3.0*3.0(10枚刃),
生産部,,,センター,(株)まじま機工,20671,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,φ3.0*90°,
生産部,,,センター,(株)まじま機工,20724,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,先端巾0.05～0.07,
生産部,,,ボーリングバイト,(株)まじま機工,20751,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,イワタボルト(GZ05-040),R0.05*0.42*60°*1.14*1.0*45°ＧＺ05-044,
生産部,,,センター,(株)まじま機工,20760,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°先端平0.1以下,
生産部,,,センター,(株)まじま機工,20764,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,120°,
生産部,,,センター,(株)まじま機工,20765,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,φ5.0*120°,
生産部,,,センター,(株)まじま機工,20766,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,φ4.0*90°先端0.05～0.07,
生産部,,,パンチ,(株)まじま機工,20797,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,MHD-01-φ24,１°*5.0,
生産部,,,ミゾバイト,(株)まじま機工,20806,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ガイドリング,R0.225*0.45*0.6,
生産部,,,端面ミゾ,(株)まじま機工,20813,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(GHB-1.8*1-0C),1.1*B.T1°*2.8,
生産部,,,エンドミル,(株)まじま機工,20818,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,イワタボルト（DISTANCE PIECE),4.0*5.0,
生産部,,,端面ミゾバイト,(株)まじま機工,20826,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(RHB-1208-3),B.T1°*2.0,
生産部,,,センター,(株)まじま機工,20837,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,90°（先端0.13程度）,
生産部,,,直刃テーパーエンドミル2刃,(株)まじま機工,20935,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東泉産業（013003-0957-0-00）,45°*2.31*4.46,
生産部,,,ボーリングバイト,(株)まじま機工,20961,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所(44-6532090-0-00),44-6532090-0-00,
生産部,,,ボーリングツール,(株)まじま機工,20968,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所(D11240030),D11240030,
生産部,,,端面ミゾバイト,(株)まじま機工,20985,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(RHB-0632-2),巾1.5*5.0,
生産部,,,オイルホール付ボーリング,(株)まじま機工,20997,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所(44-6532090-0-00),6.5*1.2,
生産部,,,直刃テーパーエンドミル,(株)まじま機工,21035,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(TJ4251020）,1.1*1.0*1.25*45°,
生産部,,,直刃テーパーエンドミル,(株)まじま機工,21042,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(TJ4251020）,1.1*1.0*1.25*45°φ5.0,
生産部,,,直場テーパーエンドミル,(株)まじま機工,21043,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(TJ4251020）,1.1*2.0,
生産部,,,総型エンドミル（ねじれ2枚刃）,(株)まじま機工,21054,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(TJ4251020）,1.1*1.0*1.25*2.3,
生産部,,,端面ミゾ,(株)まじま機工,21057,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(PHB-1065-3）,B.T1°*1.9,
生産部,,,段ドリル,(株)まじま機工,21062,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ユニタス福島（T4-127106）,118°*1.7*2.0*60°*2.8*10.0,
生産部,,,コーナーCエンドミル,(株)まじま機工,21073,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ナカニシ(E155166),C0.3*10.0*6.0(φ10エンドミル）,
生産部,,,ネジ切りバイト,(株)まじま機工,21078,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ（TP012884),R0.14*60°*1.5-0.5*5.0,
生産部,,,ボーリングバイト,(株)まじま機工,21084,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ（MP010058-6),60°*0.72*2.0*0.5*1.5*4.0*45°,
生産部,,,ボーリングバイト,(株)まじま機工,21085,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ（MP010054-7),60°*1.16*3.5*0.5*3.0*5.0*45°,
生産部,,,ボーリングバイト,(株)まじま機工,21109,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(YB2-7136-000),1°*1.5*0.2*45°*1.3*5.0,
生産部,,,シェーパー,(株)まじま機工,21110,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ（CCHB-045MS-FL277998),3°*3.0*2°,
生産部,,,シェーパー,(株)まじま機工,21111,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(ZHB-081S-SUS303),6°*5.0*3°,
生産部,,,端面ミゾ,(株)まじま機工,21115,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(TP013041-X0),0.5*1.3*2-BT1°*7.7,
生産部,,,端面ミゾ,(株)まじま機工,21116,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(TP013043-X0),0.9*1.5*2-B.T1°*8.5,
生産部,,,端面溝入れバイト,(株)まじま機工,21139,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,シチズンマイクロ（メタルハウス）,5.2*3.0*7.0*7.0,
生産部,,,端面ミゾバイト,(株)まじま機工,21140,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,シチズンマイクロ（17R-105),5.2*3.0*7.0*7.0,
生産部,,,テーパー半月,(株)まじま機工,21161,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(YB2-7136-000),120°*0.3*2.05*45°(片角22.5°)*(半月割5.0),
生産部,,,ミゾバイト,(株)まじま機工,21165,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(TP012956-X2),2-R0.1*0.415*1.3,
生産部,,,ミゾバイト,(株)まじま機工,21166,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(TP012985-X1),2-R0.1*0.545*1.5,
生産部,,,ミゾバイト,(株)まじま機工,21167,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,三協（シャフトB）,0.525*0.378,
生産部,,,段半月,(株)まじま機工,21179,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(DSCBD-1/8),0.9*0.7*R0.1*1.45*5.0,
生産部,,,スロッター,(株)まじま機工,21200,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(6J5495010),3.015*4.15(φ1.30）,
生産部,,,段ドリル,(株)まじま機工,21203,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,三栄精工（T4-127105),120°*1.70*3.5*60°*2.80*10.0,
生産部,,,ボーリングバイト,(株)まじま機工,21204,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(ISSP-M5-4.6),2.5*1.0*2.1*5.0,
生産部,,,ボーリングバイト,(株)まじま機工,21243,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,東京鋲兼(40515-01）,2.0*0.3*50°*1.6*3.0,
生産部,,,シェーパー,(株)まじま機工,21274,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ,1.56*1.3,
生産部,,,ミゾバイト,(株)まじま機工,21277,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(MP004165-2),2-R0.1*0.5*1.3,
生産部,,,ボーリングバイト,(株)まじま機工,21278,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(MP004165-2),1.0*0.5*BT=1°*0.8*2.5,
生産部,,,ツイストドリル,(株)まじま機工,21292,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-0624847),2.9*2.0*7.5*21.0シャンク25,
生産部,,,センター,(株)まじま機工,21316,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-0624847),90°,
生産部,,,ドリル,(株)まじま機工,21317,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-0624848-※）,150°*2.8*1.05*45°*3.4*7.0,
生産部,,,エンドミル3枚刃,(株)まじま機工,21327,0,,,,¥0,,,,,,,,,(株)まじま機工,再研磨\3000,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所(PIPE4),17.20*20.0シャンク10*30,
生産部,,,エンドミル2枚刃,(株)まじま機工,21334,0,,,,¥0,,,,,,,,,(株)まじま機工,再研磨\3000,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所（PIPE4）,17.23*20.0　シャンク10*40,
生産部,,,シェーパー,(株)まじま機工,21335,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(CCHB-065MS-FL27999,ー,
生産部,,,ツイスト段ドリル,(株)まじま機工,21336,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,アオイ(DSCCB-M5-SUS303),1.0*3.0*60°*1.2*3.0*30°,
生産部,,,ネジ切りバイト,(株)まじま機工,21340,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-5039419）,1.8*13.0,
生産部,,,エンドミル4枚刃,(株)まじま機工,21345,0,,,,¥0,,,,,,,,,(株)まじま機工,再研磨\3000,新井翔太,,¥0,¥0,¥0,10,消耗品,安藤螺子製作所（PIPE4）,17.24*20.0 シャンク10*30,
生産部,,,センター,(株)まじま機工,21364,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,140°,
生産部,,,シェーパー（014277-001-01),(株)まじま機工,21368,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ,1.54*1.3,
生産部,,,エンドミル,(株)まじま機工,21371,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,3.0*5.0（ねじれ0°）,
生産部,,,エンドミル,(株)まじま機工,21387,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,0.5*30°*1.06*2.01,
生産部,,,チェーシングツール,(株)まじま機工,21389,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(15-1009H),1.0*C1.0*0.33*55°*6.2*25.0,
生産部,,,シェーパー,(株)まじま機工,21394,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,加藤製作所(0514-08911-90-00-00),φ12.03*10.6　シャンク7　10*30,
生産部,,,シェーパー,(株)まじま機工,21395,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,加藤製作所(0514-08911-90-00-00),R1.4*90°*φ7.0,
生産部,,,段ドリル,(株)まじま機工,21443,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,56-49C-10Z（YDM),3.0*3.88*4.575*8.0（ねじり30°）,
生産部,,,シェーパー,(株)まじま機工,21476,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(MP004411),2.05*6.0,
生産部,,,シェーパー,(株)まじま機工,21483,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,日本ピスコ(MP004411),1.2*2.05*6.0,
生産部,,,直刃テーパーエンドミル,(株)まじま機工,21531,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,大成(F16101614）,4.0*11.3°*5.0,
生産部,,,総型エンドミル,(株)まじま機工,21549,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ムサシ電子（10-515-01),半月芯残しカッター3.0*2.0,
生産部,,,総型エンドミル,(株)まじま機工,21550,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ムサシ電子（10-516-01),半月芯残しカッター2.0*1.3,
生産部,,,エンドミル,(株)まじま機工,21572,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(4-738-961-01),R0.7*2.2*5.0*10.0,
生産部,,,ミゾバイト,(株)まじま機工,21573,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,トラストパーツ(15-1193H）,R0.2*0.4*4.0,
生産部,,,ボーリングバイト,(株)まじま機工,21604,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-5041454),1.5*1.5*1.3*3.5*45°,
生産部,,,段半月,(株)まじま機工,21669,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,CKD(D4-416761),0.8*3.0*1.675*5.0,
生産部,,,ボーリングツール,(株)まじま機工,21678,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機（ZM3-5041849）,1.2*3.0,
生産部,,,ボーリングツール,(株)まじま機工,21720,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機（ZM3-5042319-*),0.8*2.0,
生産部,,,端面ミゾバイト,(株)まじま機工,21771,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,IAI（81758003-00-000-0E1),6.0*4.0*10.0*7.0,
生産部,,,センター,(株)まじま機工,21784,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,SHOWA(WN561-227-ZA-T2AAA),120°*0.3*60°*1.5*10.0,
生産部,,,テーパーエンドミル,(株)まじま機工,21785,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,SHOWA(WN561-227-ZA-T2AAA),1.0*60°,
生産部,,,端面ミゾ,(株)まじま機工,21787,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,野口精機(NS-7900-0202),2°*4.0*3.0,
生産部,,,Lバイト,(株)まじま機工,21788,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,野口精機(NS-7900-0202),2°*4.0*3.0,
生産部,,,成形パンチ,(株)まじま機工,21888,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,1002-192-04(東光電子),1.2*1.5*16.0,
生産部,,,センター左刃,(株)まじま機工,21905,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機（ドライバ）,110°,
生産部,,,ボーリングツール,(株)まじま機工,21963,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ピスコ,1.0*2度°*0.8*3.0*45°,
生産部,,,端面溝入れ,(株)まじま機工,21992,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ダイトー（ユニット本体）,1.675*2.8*R0.4*R0.2*20°,
生産部,,,センター,(株)まじま機工,22075,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,6×120°,
生産部,,,端面溝入れ,(株)まじま機工,22083,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ダイトー（ユニット本体）,R0.4*1.675*2.6*R0.2*20°,
生産部,,,センター,(株)まじま機工,22163,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,φ5.0*90°先端0.05～0.07,
生産部,,,ボーリングツール,(株)まじま機工,22178,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,,2.0*1.5*1.3*3.5*45°,
生産部,,,ねじ切りバイト,(株)まじま機工,22186,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機（ネジジクウケ）,0.216*3.2*2.4*13.0,
生産部,,,チェーシングバイト,(株)まじま機工,22216,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ウォームギヤQ7,0.398*40.2°*1.28*C0.07(左勝手右刃）,
生産部,,,ネジ切りバイト(3条ネジ用),(株)まじま機工,22401,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機(ZM3-5039419）,R1.35(φ2.7円弧）*1.5*13.0(進行方向逃げ角30°),
生産部,,,センター,(株)まじま機工,22498,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,カナブランク,センター両刃80*120,
生産部,,,センター両刃,(株)まじま機工,22532,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,ドライバ,90*φ1.4*120,
生産部,,,ねじ切りバイト,(株)まじま機工,22702,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,不二工機ネジジクウケ,真鍮ネジジクウケ,
生産部,,,成形ゲージ,(株)まじま機工,22704,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,DISTANCE PEACE,7*4.3,
生産部,,,直刃エンドミル,(株)まじま機工,22705,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,distancePEACE,3.0*5.0 4.0*40,
生産部,,,直刃エンドミル,(株)まじま機工,22706,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,distancePEACE,3.5*5.0 4.0*40,
生産部,,,ボーリング,(株)まじま機工,22757,0,,,,¥0,,,,,,,,,(株)まじま機工,,新井翔太,,¥0,¥0,¥0,10,消耗品,オリフィスプレート,オリフィスプレート,
生産部,,,サポーター,興和,24727,1,,,,¥0,,,,,,,,,棒柘産業(株),膝用 M,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ダイヤモンドペースト,ナカニシ,55124,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ペンライト,IRMIN,5121453,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
